# git_hash=f1fe444b4f1b9d31faafd9a560799be8b383e684
task,metric,value,reference,status
t11,diagonal Hamiltonian,1.000000,1.000000,OK
t11,exhaustive hit-optimum,1.000000,1.000000,OK
t11,greedy hit-optimum,1.000000,1.000000,OK
t11,cold SA hit-optimum,0.583333,0.583000,OK
t11,QAOA p1 mask match,1.000000,1.000000,OK
t11,QAOA p2 mask match,1.000000,1.000000,OK
t11b,ground state uniform (fraction),1.000000,1.000000,OK
t11b,mean variational progress,0.085367,0.085400,OK
t11b,progress at reps=1,0.158847,0.158800,OK
t11b,progress at reps=4,-0.013192,-0.013200,OK
t12/dim8,classical-route orbit error,0.014648,0.014600,OK
t12/dim8,ground-state-route orbit error,0.421875,0.421900,OK
t12/dim8,solver commutation rot180,0.000000,0.000000,OK
t12/dim8,ground-state reproducibility floor,0.361328,0.361300,OK
t12/dim2,classical-route orbit error,0.000000,0.000000,OK
t12/dim2,ground-state-route orbit error,0.000000,0.000000,OK
t12/dim2,solver commutation rot180,0.000000,0.000000,OK
t12/dim2,ground-state reproducibility floor,0.000000,0.000000,OK
t13/v1,full decisions changed,0.000000,0.000000,OK
t13/v1,no_Z decisions changed,0.750000,0.750000,OK
t13/v1,no_ZZ decisions changed,0.000000,0.000000,OK
t13/v1,no_ZZZZ decisions changed,0.000000,0.000000,OK
t13/v1,Z_only decisions changed,0.000000,0.000000,OK
t14,self-convergence order,0.999421,1.000000,OK
t14,temporal order with projection,1.119384,1.120000,OK
t14,temporal order without projection,3.997727,4.000000,OK
t14,max |div B| / rms|B|,0.000000,0.000000,OK
t14,all conservation checks pass,1.000000,1.000000,OK
t15/ot,Q-HAS phys,0.194035,0.194000,OK
t15/ot,classical phys,0.484506,0.484500,OK
t15/ot,Q-HAS patch,0.679656,0.679700,OK
t15b/ot,budget-matched classical phys,0.082699,0.082700,OK
t15b/ot,budget-matched patch,0.641167,0.641200,OK
t15b/ot,delta phys at equal budget,0.111336,0.111300,OK
t15/kh,Q-HAS phys,0.007002,0.007000,OK
t15/kh,classical phys,0.002020,0.002000,OK
t15/kh,Q-HAS patch,0.837644,0.837600,OK
t15b/kh,budget-matched classical phys,0.001681,,OK
t15b/kh,budget-matched patch,0.794271,,OK
t15b/kh,delta phys at equal budget,0.005321,,OK
t15/rotor,Q-HAS phys,0.167772,,OK
t15/rotor,classical phys,1.173099,,OK
t15/rotor,Q-HAS patch,0.376105,,OK
t15b/rotor,budget-matched classical phys,0.053645,,OK
t15b/rotor,budget-matched patch,0.356199,,OK
t15b/rotor,delta phys at equal budget,0.114127,,OK
t15/tearing,Q-HAS phys,0.018542,,OK
t15/tearing,classical phys,0.004429,,OK
t15/tearing,Q-HAS patch,0.769192,,OK
t15b/tearing,budget-matched classical phys,0.004429,,OK
t15b/tearing,budget-matched patch,0.625000,,OK
t15b/tearing,delta phys at equal budget,0.014113,,OK
t15c,folds completed,4.000000,,OK
t15c,folds where Q-HAS better (combined),2.000000,,OK
t15c,budget-matched folds,4.000000,,OK
t15c,folds where Q-HAS Pareto-dominated at equal budget,4.000000,,OK
t15c,mean delta phys at equal budget (>0 = Q-HAS worse),0.061224,,OK
t17,ZZ mass kept (kelvin_helmholtz; level3_trained),0.114230,0.114200,OK
t17,ZZ mass kept (harris_tearing; level3_trained),0.001990,0.001990,OK
t17,ZZ mass kept (mhd_rotor; level3_trained),0.000395,0.000395,OK
t17,ZZ mass kept (orszag_tang; level3_trained),0.000097,0.000097,OK
t17,ZZ mass kept (kelvin_helmholtz; deployed_openloop),0.013190,0.013190,OK
t17,ZZ mass kept (harris_tearing; deployed_openloop),0.000000,0.000000,OK
t17,ZZ mass kept (mhd_rotor; deployed_openloop),0.000000,0.000000,OK
t17,ZZ mass kept (orszag_tang; deployed_openloop),0.000000,0.000000,OK
t18,no_ZZ changed (windowed),0.000000,0.000000,OK
t18,no_ZZ changed (no window),0.000000,0.000000,OK
t18,no_ZZZZ changed (no window),0.000000,0.000000,OK
t18,control full (windowed),0.000000,0.000000,OK
t18,control full (no window),0.000000,0.000000,OK
t18,window's own effect,0.250000,0.250000,OK
t20/ot,Q-HAS phys mean,0.129145,0.129100,OK
t20/ot,Q-HAS phys sd,0.022195,0.022200,OK
t20/ot,ratio vs matched (mean-based),1.561632,1.560000,OK
t20/kh,Q-HAS phys mean,0.003238,0.003240,OK
t20/kh,Q-HAS phys sd,0.001583,0.001580,OK
t20/kh,ratio vs matched (mean-based),1.925940,1.930000,OK
t20/rotor,Q-HAS phys mean,0.153669,0.153700,OK
t20/rotor,Q-HAS phys sd,0.064197,0.064200,OK
t20/rotor,ratio vs matched (mean-based),2.864549,2.860000,OK
t20/tearing,Q-HAS phys mean,0.009085,0.009080,OK
t20/tearing,Q-HAS phys sd,0.003399,0.003400,OK
t20/tearing,ratio vs matched (mean-based),2.051281,2.050000,OK
t20,folds with deterministic classical arm,4.000000,4.000000,OK
